Fecha,Resultado,Federal,U de G,Privado,Rapidas,
23/05/2020,Sospechosos,726,36,Na,Na,
24/05/2020,Confirmados,"1,180",372,212,Na,
24/05/2020,Descartados,"8,863","4,881","1,275",Na,
24/05/2020,Sospechosos,511,28,Na,Na,
25/05/2020,Confirmados,"1,238",372,224,Na,
25/05/2020,Descartados,"9,037","4,881","1,305",Na,
25/05/2020,Sospechosos,462,28,Na,Na,
26/05/2020,Confirmados,"1,295",393,274,Na,
26/05/2020,Descartados,"9,162","5,053","1,340",Na,
26/05/2020,Sospechosos,695,34,Na,Na,
27/05/2020,Confirmados,"1,355",424,285,Na,
27/05/2020,Descartados,"9,285","5,163","1,367",Na,
27/05/2020,Sospechosos,862,68,Na,Na,
28/05/2020,Confirmados,"1,432",440,289,Na,
28/05/2020,Descartados,"9,497","5,292","1,537",Na,
28/05/2020,Sospechosos,"1,022",135,Na,Na,
29/05/2020,Confirmados,"1,524",467,329,Na,
29/05/2020,Descartados,"9,587","5,470","1,600",Na,
29/05/2020,Sospechosos,"1,232",180,Na,Na,
30/05/2020,Confirmados,"1,660",506,376,Na,
30/05/2020,Descartados,"9,942","5,743","1,656",Na,
30/05/2020,Sospechosos,"1,112",88,Na,Na,
31/05/2020,Confirmados,"1,760",512,413,Na,
31/05/2020,Descartados,"10,135","5,769","1,784",Na,
31/05/2020,Sospechosos,987,115,Na,Na,
01/06/2020,Confirmados,"1,802",513,451,Na,
01/06/2020,Descartados,"10,296","5,783","1,854",Na,
01/06/2020,Sospechosos,"1,184",115,Na,Na,
02/06/2020,Confirmados,"2,025",533,530,Na,
02/06/2020,Descartados,"10,553","5,956","2,130",Na,
02/06/2020,Sospechosos,"1,202",90,Na,Na,
03/06/2020,Confirmados,"2,136",557,593,Na,
03/06/2020,Descartados,"10,677","6,142","2,250",Na,
03/06/2020,Sospechosos,"1,577",78,Na,Na,
04/06/2020,Confirmados,"2,289",586,664,Na,
04/06/2020,Descartados,"10,852","6,210","2,339",Na,
04/06/2020,Sospechosos,"1,711",132,Na,Na,
05/06/2020,Confirmados,"2,477",631,742,14,
05/06/2020,Descartados,"11,015","6,308","2,434",701,
05/06/2020,Sospechosos,"1,777",145,Na,Na,
06/06/2020,Confirmados,"2,653",682,781,22,
06/06/2020,Descartados,"11,416","6,505","2,506","1,033",
06/06/2020,Sospechosos,"1,537",121,Na,Na,
07/06/2020,Confirmados,"2,820",739,809,29,
07/06/2020,Descartados,"11,621","6,669","2,533","1,109",
07/06/2020,Sospechosos,"1,341",104,Na,Na,
08/06/2020,Confirmados,"2,988",739,891,45,
08/06/2020,Descartados,"11,849","6,669","2,684","1,306",
08/06/2020,Sospechosos,"1,317",104,Na,Na,
09/06/2020,Confirmados,"3,218",760,972,65,
09/06/2020,Descartados,"12,032","6,769","2,780","1,616",
09/06/2020,Sospechosos,"1,490",148,Na,Na,
10/06/2020,Confirmados,"3,309",811,"1,040",84,
10/06/2020,Descartados,"12,280","6,928","2,843","2,087",
10/06/2020,Sospechosos,"1,705",161,Na,Na,
11/06/2020,Confirmados,"3,511",842,"1,172",107,
11/06/2020,Descartados,"12,590","7,116","3,019","2,739",
11/06/2020,Sospechosos,"1,731",188,Na,Na,
12/06/2020,Confirmados,"3,704",873,"1,259",164,
12/06/2020,Descartados,"12,810","7,195","3,119","3,397",
12/06/2020,Sospechosos,"1,811",320,Na,Na,
13/06/2020,Confirmados,"3,880",999,"1,260",218,
13/06/2020,Descartados,"13,047","7,607","3,246","4,284",
13/06/2020,Sospechosos,"1,722",92,Na,Na,
14/06/2020,Confirmados,"4,044","1,041","1,267",237,
14/06/2020,Descartados,"13,250","7,768","3,246","4,493",
14/06/2020,Sospechosos,"1,481",81,Na,Na,
15/06/2020,Confirmados,"4,139","1,046","1,366",263,
15/06/2020,Descartados,"13,391","7,848","3,389","4,977",
15/06/2020,Sospechosos,"1,566",58,Na,Na,
16/06/2020,Confirmados,"4,289","1,109","1,452",299,
16/06/2020,Descartados,"13,545","8,123","3,481","5,642",
16/06/2020,Sospechosos,"1,742",106,Na,Na,
17/06/2020,Confirmados,"4,495","1,184","1,544",372,
17/06/2020,Descartados,"13,767","8,343","3,563","6,387",
17/06/2020,Sospechosos,"1,812",100,Na,Na,
18/06/2020,Confirmados,"4,656","1,279","1,652",418,
18/06/2020,Descartados,"13,964","8,611","3,664","7,027",
18/06/2020,Sospechosos,"1,903",144,Na,Na,
19/06/2020,Confirmados,"4,791","1,366","1,768",458,
19/06/2020,Descartados,"14,167","8,769","3,807","7,416",
19/06/2020,Sospechosos,"2,056",154,Na,Na,
20/06/2020,Confirmados,"4,922","1,449","1,836",458,
20/06/2020,Descartados,"14,335","9,040","3,930","7,415",
20/06/2020,Sospechosos,"2,115",154,Na,Na,
21/06/2020,Confirmados,"5,090","1,449","1,842",523,
21/06/2020,Descartados,"14,499","9,101","3,963","8,142",
21/06/2020,Sospechosos,"1,980",239,Na,Na,
22/06/2020,Confirmados,"5,217","1,486","1,992",585,
22/06/2020,Descartados,"14,683","9,156","4,174","8,498",
22/06/2020,Sospechosos,"1,977",148,Na,Na,
23/06/2020,Confirmados,"5,528","1,616","2,047",684,
23/06/2020,Descartados,"14,930","9,364","4,222","9,298",
23/06/2020,Sospechosos,"1,918",124,Na,Na,
24/06/2020,Confirmados,"5,715","1,719","2,152",801,
24/06/2020,Descartados,"15,168","9,569","4,497","10,119",
24/06/2020,Sospechosos,"1,951",120,Na,Na,
25/06/2020,Confirmados,"5,875","1,783","2,212",951,
25/06/2020,Descartados,"15,341","9,724","4,722","11,150",
25/06/2020,Sospechosos,"2,094",141,Na,Na,
26/06/2020,Confirmados,"6,054","1,883","2,240","1,074",
26/06/2020,Descartados,"15,562","9,894","4,774","12,366",
26/06/2020,Sospechosos,"2,130",168,Na,Na,
27/06/2020,Confirmados,"6,190","1,971","2,357","1,097",
27/06/2020,Descartados,"15,728","10,119","4,991","12,667",
27/06/2020,Sospechosos,"2,216",191,Na,Na,
28/06/2020,Confirmados,"6,386","2,010","2,377","1,102",
28/06/2020,Descartados,"15,975","10,236","4,991","12,702",
28/06/2020,Sospechosos,"1,939",198,Na,Na,
29/06/2020,Confirmados,"6,497","2,022","2,490","1,184",
29/06/2020,Descartados,"16,065","10,320","5,185","13,520",
29/06/2020,Sospechosos,"2,142",193,Na,Na,
30/06/2020,Confirmados,"6,684","2,093","2,578","1,275",
30/06/2020,Descartados,"16,177","10,518","5,345","14,263",
30/06/2020,Sospechosos,"2,390",178,Na,Na,
01/07/2020,Confirmados,"6,873","2,205","2,690","1,415",
01/07/2020,Descartados,"16,457","10,752","5,498","14,899",
01/07/2020,Sospechosos,"2,399",106,Na,Na,
02/07/2020,Confirmados,"7,030","2,318","2,763","1,502",
02/07/2020,Descartados,"16,671","10,919","5,645","15,495",
02/07/2020,Sospechosos,"2,547",112,Na,Na,
03/07/2020,Confirmados,"7,261","2,430","2,890","1,622",
03/07/2020,Descartados,"16,927","11,114","5,761","16,270",
03/07/2020,Sospechosos,"2,525",113,Na,Na,
04/07/2020,Confirmados,"7,507","2,550","3,057","1,633",
04/07/2020,Descartados,"17,141","11,238","6,101","16,333",
04/07/2020,Sospechosos,"2,404",107,Na,Na,
05/07/2020,Confirmados,"7,686","2,601","3,411","1,634",
05/07/2020,Descartados,"17,354","11,308","6,763","16,348",
05/07/2020,Sospechosos,"2,190",107,Na,Na,
06/07/2020,Confirmados,"7,915","2,611","3,740","1,730",
06/07/2020,Descartados,"17,631","11,358","7,321","16,814",
06/07/2020,Sospechosos,"2,090",99,Na,Na,
07/07/2020,Confirmados,"8,081","2,730","3,866","1,782",
07/07/2020,Descartados,"17,854","11,528","7,514","17,187",
07/07/2020,Sospechosos,"2,282",103,Na,Na,
08/07/2020,Confirmados,"8,274","2,846","3,977","1,827",
08/07/2020,Descartados,"18,018","11,654","7,598","17,555",
08/07/2020,Sospechosos,"2,592",104,Na,Na,
09/07/2020,Confirmados,"8,582","2,922","4,102","1,906",
09/07/2020,Descartados,"18,311","11,846","7,806","17,957",
09/07/2020,Sospechosos,"2,602",158,Na,Na,
10/07/2020,Confirmados,"8,797","3,066","4,188","1,967",
10/07/2020,Descartados,"18,642","12,045","7,893","18,371",
10/07/2020,Sospechosos,"2,656",94,Na,Na,
11/07/2020,Confirmados,"8,989","3,186","4,261","1,971",
